CAMTA1	THC_0249	1117	CHS	final	fasta
LEUTX	THC_0312.Rep-DIANA_0293	430	CHS	final	fasta
LEUTX	THC_0312.Rep-MICHELLE_0314	1262	CHS	final	fasta
LEUTX	THC_0455.Rep-DIANA_0293	714	CHS	final	fasta
MYF6	THC_0721	22642	CHS	final	fasta
PRDM13	THC_0223	6874	CHS	final	fasta
SALL3	THC_0314.Rep-DIANA_0293	548	CHS	final	fasta
USF3	THC_0757	2045	CHS	final	fasta
ZBED2	THC_0902	640	CHS	final	fasta
ZBED5	THC_0278	19600	CHS	final	fasta
ZNF20	THC_0341.Rep-DIANA_0293	126	CHS	final	fasta
ZNF20	THC_0341.Rep-MICHELLE_0314	212	CHS	final	fasta
ZNF20	THC_0395.Rep-DIANA_0293	608	CHS	final	fasta
ZNF251	THC_0300.Rep-DIANA_0293	4483	CHS	final	fasta
ZNF251	THC_0445.Rep-DIANA_0293	3017	CHS	final	fasta
ZNF251	THC_0445.Rep-MICHELLE_0314	6596	CHS	final	fasta
ZNF367	THC_0046	29162	CHS	final	fasta
ZNF395	THC_0294.Rep-DIANA_0293	443	CHS	final	fasta
ZNF493	THC_0334.Rep-DIANA_0293	92	CHS	final	fasta
ZNF493	THC_0334.Rep-MICHELLE_0314	184	CHS	final	fasta
ZNF493	THC_0389.Rep-MICHELLE_0314	93	CHS	final	fasta
ZNF518B	THC_0669	4824	CHS	final	fasta
ZNF648	THC_0775	2210	CHS	final	fasta
